iteration,free_energy_hartree,entropy,gradient_abs,basis_e0_hartree,basis_e1_hartree,basis_e2_hartree,basis_ee1_hartree,basis_ee2_hartree,selected_pool_index,selected_excitation,optimizer_success,optimizer_status,optimizer_nit,optimizer_nfev
1,-2.4526905667511536,3.077205755161081,0.03696630051850168,-1.793686956701219,-1.6194655302789676,-1.6194655302789671,0.17422142642225147,0.1742214264222519,11,0 1 6 7,True,0,5,12
2,-2.4592995201714665,3.061102037255629,0.02951122664361851,-1.8242297504524303,-1.6194686733687786,-1.6194686733687782,0.20476107708365165,0.2047610770836521,19,1 2 5 6,False,1,10,54
3,-2.4665360007620545,3.041556737413059,0.031151023243696646,-1.8578129570061273,-1.6192708485166083,-1.619270848516607,0.23854210848951896,0.2385421084895203,14,0 3 4 7,False,1,10,52
4,-2.4837022049570323,2.9796718118468704,0.03438632399853094,-1.946085480796763,-1.6187318495911136,-1.618731849591111,0.3273536312056493,0.327353631205652,22,2 3 4 5,False,1,10,65
5,-2.486551849373667,2.980854748792453,0.0233492087158831,-1.9449121260533175,-1.6190604711628276,-1.619060471162826,0.32585165489048995,0.3258516548904915,25,2 3 6 7,False,1,10,72
6,-2.489837380211642,2.979947937413103,0.021222137806028805,-1.9486149201216918,-1.6192858541594142,-1.61928585415941,0.3293290659622776,0.32932906596228184,8,0 1 4 5,False,1,10,84
7,-2.4923672921566062,2.9766716337040395,0.019907525529305446,-1.95268471057333,-1.6346039063202822,-1.6159386264845876,0.31808080425304786,0.3367460840887424,15,0 3 5 6,False,1,10,96
8,-2.4960063239949926,2.9678041895548746,0.023550058721723603,-1.9636811149807916,-1.630640883035275,-1.6305499357520388,0.3330402319455166,0.3331311792287528,18,1 2 4 7,False,1,10,108
9,-2.496358684361201,2.9673404884054806,0.008560411122613788,-1.9643226801717986,-1.6344563562998775,-1.6277557666043638,0.32986632387192105,0.33656691356743473,12,0 2 4 6,False,1,10,110
10,-2.496772362603672,2.966243281083888,0.009206046790903016,-1.9657490379650486,-1.6314487532878326,-1.631442629149325,0.33430028467721606,0.3343064088157237,21,1 3 5 7,False,1,10,121
11,-2.498068980488707,2.966894270706869,0.0026974167153013995,-1.9537857207219833,-1.6617759694726155,-1.6615278973576701,0.2920097512493678,0.29225782336431316,22,2 3 4 5,False,1,10,144
12,-2.500638708073786,2.9559339209484645,0.011698008461306463,-1.9662591428752223,-1.6634361215151332,-1.6634244435861096,0.3028230213600891,0.30283469928911266,22,2 3 4 5,False,1,10,143
13,-2.5028449912034216,2.950337960976337,0.004367438659651614,-1.9663001098219928,-1.6800621744081121,-1.6800260952291906,0.28623793541388065,0.2862740145928022,11,0 1 6 7,False,1,10,168
14,-2.503488309126436,2.9481586670320308,0.006306123760898903,-1.966902259013413,-1.6825579895096432,-1.6825376834365562,0.2843442695037699,0.2843645755768569,25,2 3 6 7,False,1,10,165
15,-2.5042360143736495,2.949178248037903,0.004761824375614704,-1.9656415552250033,-1.680683099167894,-1.6806276534001103,0.28495845605710923,0.28501390182489295,8,0 1 4 5,False,1,10,176
16,-2.5047097686027535,2.948145572354709,0.006111041030567187,-1.9662823663743523,-1.6810654141651569,-1.6810121012276742,0.2852169522091954,0.2852702651466781,11,0 1 6 7,False,1,10,187
17,-2.5049719159681554,2.9483737013253926,0.003732677849801522,-1.9660496321838576,-1.6805947508783254,-1.680537114164966,0.2854548813055322,0.28551251801889155,11,0 1 6 7,False,1,10,198
18,-2.5053496498133185,2.9493568753502384,0.0033981964438325285,-1.9658908312465275,-1.682614046101446,-1.673776846045996,0.2832767851450815,0.29211398520053145,12,0 2 4 6,False,1,10,209
19,-2.505628302411337,2.948692315397921,0.004735912248878226,-1.9673920977572417,-1.6825788652445515,-1.6708155461410068,0.2848132325126902,0.29657655161623486,21,1 3 5 7,False,1,10,220
20,-2.5057669800341666,2.948461895593192,0.002472177169199407,-1.9672436096866641,-1.6825387702982575,-1.6710073304095032,0.2847048393884066,0.2962362792771609,0,0 4,False,1,10,231
