iteration,state_index,energy_hartree,thermal_weight,occupation
1,0,-1.793686956701219,0.13848256716110227,0 1 2 3
1,1,-1.6194655302789676,0.08211167159965829,0 1 2 5
1,2,-1.6194655302789671,0.08211167159965815,0 1 4 3
1,3,-1.49687964930509,0.05684467377105536,4 1 2 3
1,4,-1.49687964930509,0.05684467377105536,0 5 2 3
1,5,-1.4359776787363965,0.04735235786643349,0 1 4 5
1,6,-1.4279330410974524,0.04622324000497551,0 1 2 7
1,7,-1.427933041097452,0.046223240004975436,0 1 6 3
1,8,-1.359403727476964,0.03763350564441972,6 1 2 3
1,9,-1.359403727476963,0.03763350564441965,0 7 2 3
1,10,-1.3150982527944053,0.03294957416233498,4 1 2 5
1,11,-1.3150982527944053,0.03294957416233498,0 5 4 3
1,12,-1.2733011138371109,0.02906651778738319,4 1 6 3
1,13,-1.27330111383711,0.029066517787383114,0 5 2 7
1,14,-1.2458571590990548,0.026769282533287773,0 1 4 7
1,15,-1.245857159099054,0.0267692825332877,0 1 6 5
1,16,-1.1973786128269337,0.02314594069501499,4 1 2 7
1,17,-1.1973786128269337,0.02314594069501499,0 5 6 3
1,18,-1.1807183145101297,0.022017520488649297,6 1 2 5
1,19,-1.1807183145101297,0.022017520488649297,0 7 4 3
1,20,-1.1535124027544783,0.02029187961375847,4 5 2 3
1,21,-1.0736509263987777,0.015968792644939667,6 5 2 3
1,22,-1.0736509263987772,0.015968792644939653,4 7 2 3
1,23,-1.0080739614238916,0.013116952308869735,0 1 6 7
1,24,-0.9974535787635402,0.012705618726295612,6 1 2 7
1,25,-0.9974535787635402,0.012705618726295612,0 7 6 3
1,26,-0.9137299645220174,0.009883566933807767,6 7 2 3
2,0,-1.8242297504524303,0.14879149594001118,0 1 2 3
2,1,-1.6194686733687786,0.08050044711028091,0 1 2 5
2,2,-1.6194686733687782,0.08050044711028084,0 1 4 3
2,3,-1.5219288902441928,0.06007798024915619,4 1 2 3
2,4,-1.4968796493050833,0.05572872183604752,0 5 2 3
2,5,-1.4526474629712363,0.04880335728817063,0 1 2 7
2,6,-1.4279330410974458,0.04531580381607878,0 1 6 3
2,7,-1.4250259538269092,0.04492231119696892,0 1 4 5
2,8,-1.3594037274769546,0.03689469969024749,6 1 2 3
2,9,-1.3594037274769541,0.03689469969024746,0 7 2 3
2,10,-1.315098252794399,0.03230272128052881,0 5 4 3
2,11,-1.3150982527943982,0.032302721280528725,4 1 2 5
2,12,-1.2733011138371024,0.02849589551766239,4 1 6 3
2,13,-1.2733011138371024,0.02849589551766239,0 5 2 7
2,14,-1.2458571590990477,0.026243758668692975,0 1 6 5
2,15,-1.2458571590990473,0.02624375866869294,0 1 4 7
2,16,-1.2250478152427782,0.024655504064792843,4 1 2 7
2,17,-1.180718314510122,0.021585281318936677,0 7 4 3
2,18,-1.1807183145101212,0.021585281318936618,6 1 2 5
2,19,-1.1752841524298765,0.021236240414880144,0 5 6 3
2,20,-1.153512402754472,0.019893517536580918,4 5 2 3
2,21,-1.073650926398772,0.0156552996847438,4 7 2 3
2,22,-1.073650926398771,0.01565529968474376,6 5 2 3
2,23,-1.0080739614238863,0.012859445539291983,0 1 6 7
2,24,-0.9974535787635358,0.012456187093348215,6 1 2 7
2,25,-0.9974535787635354,0.012456187093348198,0 7 6 3
2,26,-0.9052816311678452,0.009447041389138525,6 7 2 3
3,0,-1.8578129570061273,0.16102926967979322,0 1 2 3
3,1,-1.6192708485166083,0.07872492562527707,0 1 2 5
3,2,-1.619270848516607,0.07872492562527678,0 1 4 3
3,3,-1.5218963407138018,0.05878203604788551,4 1 2 3
3,4,-1.5218963392975722,0.05878203579813895,0 5 2 3
3,5,-1.4525914319379774,0.04774725472051607,0 1 2 7
3,6,-1.452591429992045,0.047747254441777257,0 1 6 3
3,7,-1.4138252065440842,0.0425050501669343,0 1 4 5
3,8,-1.3594037274769488,0.036102368013408895,6 1 2 3
3,9,-1.3594037274769466,0.03610236801340864,0 7 2 3
3,10,-1.3150982527943902,0.03160900458047316,4 1 2 5
3,11,-1.3150982527943893,0.03160900458047308,0 5 4 3
3,12,-1.2733011138370962,0.027883932258221715,4 1 6 3
3,13,-1.2733011138370962,0.027883932258221715,0 5 2 7
3,14,-1.2458571590990415,0.025680161146905554,0 1 4 7
3,15,-1.2458571590990384,0.025680161146905314,0 1 6 5
3,16,-1.2030610338476275,0.022586003002523797,4 1 2 7
3,17,-1.2030610304854676,0.02258600277471055,0 5 6 3
3,18,-1.1807183145101177,0.021121726871114896,0 7 4 3
3,19,-1.1807183145101159,0.02112172687111478,6 1 2 5
3,20,-1.1535124027544668,0.019466294541399767,4 5 2 3
3,21,-1.0736509263987657,0.015319094485764946,6 5 2 3
3,22,-1.0736509263987648,0.015319094485764904,4 7 2 3
3,23,-1.0080739614238814,0.012583282672189042,0 1 6 7
3,24,-0.9974535787635291,0.012188684398122372,0 7 6 3
3,25,-0.9974535787635289,0.012188684398122367,6 1 2 7
3,26,-0.8935966254456409,0.008925721395555338,6 7 2 3
4,0,-1.946085480796763,0.19931871101929302,0 1 2 3
4,1,-1.6187318495911136,0.07465251491868609,0 1 4 3
4,2,-1.618731849591111,0.07465251491868549,0 1 2 5
4,3,-1.5215872891203623,0.055779729427092126,4 1 2 3
4,4,-1.5215872833397925,0.05577972845977627,0 5 2 3
4,5,-1.4522258738084852,0.04530087217144803,0 1 2 7
4,6,-1.4522258673123138,0.04530087128860136,0 1 6 3
4,7,-1.4193142856794683,0.04104181894488341,0 7 2 3
4,8,-1.4193142856794667,0.04104181894488323,6 1 2 3
4,9,-1.3717733610999434,0.03558658522819117,0 1 4 5
4,10,-1.3150982527943849,0.030022389575691557,0 5 4 3
4,11,-1.315098252794383,0.030022389575691397,4 1 2 5
4,12,-1.2733011138370909,0.026484297378845008,0 5 2 7
4,13,-1.27330111383709,0.026484297378844935,4 1 6 3
4,14,-1.245857159099034,0.024391144629565886,0 1 4 7
4,15,-1.245857159099034,0.024391144629565886,0 1 6 5
4,16,-1.1807183145101114,0.020061521109326564,0 7 4 3
4,17,-1.1807183145101097,0.020061521109326456,6 1 2 5
4,18,-1.1535124027544592,0.018489183258813952,4 5 2 3
4,19,-1.1492054749373253,0.018251825253594183,4 1 2 7
4,20,-1.14920544387379,0.01825182355269561,0 5 6 3
4,21,-1.07365092639876,0.014550152043781255,4 7 2 3
4,22,-1.0736509263987586,0.014550152043781206,6 5 2 3
4,23,-1.008073961423876,0.011951664392458808,0 1 6 7
4,24,-0.9974535787635249,0.011576872991490673,6 1 2 7
4,25,-0.9974535787635238,0.011576872991490633,0 7 6 3
4,26,-0.9626019399958368,0.010427582763495914,6 7 2 3
5,0,-1.9449121260533175,0.19692759222584888,0 1 2 3
5,1,-1.6190604711628276,0.07409004252182307,0 1 2 5
5,2,-1.619060471162826,0.07409004252182266,0 1 4 3
5,3,-1.542747052575671,0.058929445455888796,4 1 2 3
5,4,-1.5427470525428144,0.05892944545008012,0 5 2 3
5,5,-1.4483296613196635,0.04439330699947151,0 1 2 7
5,6,-1.4483296612594785,0.04439330699145607,0 1 6 3
5,7,-1.4194292325674196,0.0407064854965474,6 1 2 3
5,8,-1.4194292325674192,0.04070648549654736,0 7 2 3
5,9,-1.3917471739225722,0.03746253071874078,0 1 4 5
5,10,-1.3150982527943742,0.029766824133640298,4 1 2 5
5,11,-1.3150982527943742,0.029766824133640298,0 5 4 3
5,12,-1.273301113837079,0.02625884992903492,4 1 6 3
5,13,-1.273301113837079,0.02625884992903492,0 5 2 7
5,14,-1.2458571590990255,0.024183515132131298,0 1 4 7
